text,label
<<<<<<< HEAD
Je suis très content aujourd'hui,positif
C'est une journée magnifique,positif
Je me sens mal et fatigué,négatif
Rien ne va aujourd'hui,négatif
=======
Je me sens incroyablement heureux aujourd'hui,positif
Cette journée est splendide et pleine de surprises,positif
J'ai réussi à terminer mon projet à temps,positif
Je suis content de passer du temps avec mes amis,positif
Tout se passe bien et je suis satisfait,positif
J'ai beaucoup d'énergie et je me sens motivé,positif
C'est fantastique de voir mes efforts récompensés,positif
Je me sens léger et serein après cette réussite,positif
Le soleil brille et je suis de bonne humeur,positif
J'ai ri toute la journée avec ma famille,positif
Je me sens chanceux et reconnaissant,positif
Cette réussite m'apporte beaucoup de joie,positif
J'ai fait un excellent repas et j'en suis fier,positif
Je suis satisfait de mon travail accompli,positif
Je me sens confiant et prêt à relever de nouveaux défis,positif
Je suis tellement heureux aujourd'hui,positif
Cette journée est merveilleuse,positif
J'ai réussi à finir mon projet,positif
J'adore passer du temps avec mes amis,positif
Je me sens plein d'énergie,positif
C'est fantastique de voir ce résultat,positif
Je suis fier de moi,positif
Tout se passe bien pour moi,positif
Quel plaisir de recevoir ce message,positif
Je me sens détendu et joyeux,positif
Le soleil brille et je suis heureux,positif
Je me sens chanceux aujourd'hui,positif
J'ai eu une excellente surprise,positif
C'est un moment merveilleux,positif
Je suis satisfait de mon travail,positif
Rien ne peut me rendre triste aujourd'hui,positif
Je me sens joyeux et plein d'énergie,positif
Cette réussite me rend très heureux,positif
J'ai passé une journée incroyable avec mes amis,positif
Le repas était délicieux et m'a fait plaisir,positif
Je suis fier de mon travail acharné,positif
Je suis content de ma progression,positif
Quel bonheur de voir mes efforts récompensés,positif
Je me sens léger et serein aujourd'hui,positif
C'est formidable de se sentir compris et aimé,positif
J'ai hâte de voir ce que demain me réserve,positif
J'ai passé un super moment,positif
Je suis rempli de gratitude,positif
Tout va pour le mieux,positif
Je me sens léger et heureux,positif
Je suis ravi de cette journée,positif
J'ai réussi mon examen et je suis fier,positif
C'est génial de passer du temps avec ma famille,positif
Je me sens motivé et enthousiaste,positif
J'adore apprendre de nouvelles choses,positif
Je suis extrêmement content d'avoir terminé ce projet,positif
Rien ne pourrait gâcher mon enthousiasme aujourd'hui,positif
Je me sens plein de vie et motivé à apprendre,positif
Quelle joie de retrouver mes amis après une longue journée,positif
Je suis satisfait de tout ce que j'ai accompli cette semaine,positif
